#{"t_start": 1770904748.212053, "env_id": "None"}
r,l,t
-81.786695,140,3.751757
-75.700573,142,3.788707
-36.87881,109,3.815476
-52.749892,201,3.865288
-56.385911,99,3.906199
-55.261154,101,3.944789
-21.897467,119,3.974768
-44.520214,72,3.994687
-81.600318,119,4.026727
-34.628744,115,4.054392
-47.356287,91,4.07634
-63.991799,98,4.101173
-77.818379,120,4.133417
-64.665775,112,4.164777
-48.076255,132,4.200017
-35.219833,81,4.222441
-44.179722,98,4.250473
-68.757067,108,5.076026
-33.943841,96,5.113061
-43.121456,99,5.144027
-78.13504,141,5.182902
-53.864373,165,5.23057
-24.539568,133,5.269984
-35.285852,90,5.292125
-53.549748,104,5.320547
-63.590341,122,5.357152
-60.645348,117,5.393205
-57.028585,136,5.445992
-41.09615,153,5.492477
-66.396587,104,5.520883
-76.164129,162,5.569215
-54.276134,194,5.632414
-49.695929,167,5.685804
-20.679975,123,6.406317
-62.288589,91,6.432869
-62.74818,151,6.476599
-84.20493,122,6.512053
-58.724832,197,6.56898
-53.813412,92,6.593215
-71.733313,114,6.620719
-39.516089,100,6.647772
-68.208178,100,6.675918
-89.864692,130,6.712472
-44.48941,100,6.739118
-34.390515,98,6.765644
-60.092617,106,6.795807
-84.302755,151,6.838648
-52.283761,118,6.872307
-43.135872,77,6.893462
-74.77114,141,6.934126
-37.336905,96,7.582618
-39.148365,89,7.60815
-30.93174,101,7.635731
-35.555851,76,7.656328
-59.609149,131,7.691834
-41.243183,174,7.738704
-62.062736,119,7.771201
-60.097556,102,7.798068
-73.82765,113,7.8257
-27.555011,109,7.853348
-74.097913,125,7.890847
-37.805358,86,7.915567
-45.90786,132,7.947494
-98.276297,237,8.014368
-37.887322,94,8.036697
-46.274553,84,8.056822
-24.538369,108,8.082429
-34.502064,107,8.114393
-39.569706,77,8.758821
-29.329775,91,8.784268
-40.294622,167,8.831323
-35.478304,87,8.854768
-63.70461,118,8.886719
-67.522366,119,8.918713
-62.982162,129,8.954287
-83.848174,176,8.998158
-41.442777,71,9.016352
-76.9457,136,9.050224
-13.301599,170,9.092182
-57.213383,146,9.131618
-16.477843,234,9.18898
-32.968481,92,9.213975
-57.174347,132,9.249027
-36.295162,114,9.27637
-84.390794,141,9.93623
-73.508133,103,9.965049
-59.584393,185,10.018112
-21.752255,141,10.056599
-67.614062,172,10.103747
-30.622993,86,10.126656
-54.275471,99,10.150834
-40.720074,79,10.170553
-47.886691,179,10.216188
-36.313799,87,10.237713
-31.244849,96,10.265961
-56.583083,103,10.291644
-36.100752,90,10.314049
-55.405014,140,10.35154
-54.334219,107,10.382136
-23.562176,154,10.421999
-62.195548,93,10.445919
-8.396023,160,11.136374
-67.604715,120,11.170892
-60.693521,88,11.196332
-26.913643,101,11.225629
-49.459216,115,11.257302
-63.185884,165,11.303055
-40.529967,92,11.325447
-52.176483,167,11.370714
-54.867931,154,11.416202
-48.666064,143,11.456161
-22.582223,150,11.497764
-62.74179,125,11.52973
-78.972128,131,11.561103
-36.220621,80,11.586071
-45.479224,69,11.602918
-48.559254,96,11.625736
-53.77051,108,11.651238
-56.244423,98,12.298084
-21.96206,147,12.338887
-92.44319,176,12.388754
-29.338892,98,12.417259
-35.89367,92,12.444825
-35.758145,85,12.4681
-32.639153,93,12.492112
-44.292894,77,12.510392
-28.655755,116,12.538209
-51.013297,128,12.568716
-58.110196,135,12.600717
-66.125706,128,12.630925
-109.327791,208,12.680255
-45.145255,82,12.700287
-47.773105,131,12.73231
-40.946983,90,12.75364
-29.877637,86,12.77419
-67.366727,136,13.432093
-54.567864,72,13.452638
-30.272835,134,13.49316
-24.172019,132,13.531692
-30.489494,85,13.555434
-80.501422,167,13.601238
-69.452594,92,13.625926
-70.082108,122,13.655914
-71.293395,102,13.679861
-48.630021,152,13.716377
-26.027787,183,13.763063
-31.235435,85,13.784465
-45.329691,95,13.808791
-40.595055,81,13.827901
-53.234018,117,13.856506
-31.547083,94,13.878743
-52.880899,126,13.910849
-25.452837,144,13.945227
-59.936517,113,14.591972
-53.955741,127,14.633688
-70.885865,126,14.674023
-37.758904,188,14.726524
-75.902737,172,14.775758
-40.378016,71,14.793478
-41.063674,88,14.815182
-36.530579,102,14.839982
-31.827528,122,14.869543
-52.896487,117,14.898008
-52.553837,88,14.919441
-58.059811,99,14.942604
-46.443633,98,14.966087
-63.752285,96,14.988805
-25.40959,129,15.019256
-26.194693,107,15.044384
-30.994022,96,15.06697
-32.955208,97,15.090068
-39.71347,76,15.791152
-64.271298,120,15.829652
-32.231879,91,15.857759
-28.821888,137,15.900985
-56.389572,119,15.935176
-39.025895,174,15.985459
-34.776086,163,16.025497
-41.310964,120,16.05433
-79.141218,152,16.090768
-53.827268,97,16.114178
-25.08121,115,16.142148
-30.497371,94,16.165614
-36.024448,101,16.193057
-50.089458,86,16.216949
-46.91473,111,16.244324
-58.814678,133,16.279386
-34.594974,75,16.297549
-30.809116,87,16.31824
-54.505508,164,16.98568
-39.709777,112,17.017401
-48.766704,105,17.046729
-66.333698,103,17.075114
-12.960201,145,17.117021
-38.554983,86,17.141464
-40.147883,89,17.164932
-22.591894,124,17.194538
-32.654968,105,17.219672
-35.332177,92,17.241777
-66.671955,136,17.274341
-33.448848,87,17.295218
-38.484782,79,17.317852
-25.925288,108,17.344734
-53.480694,159,17.383875
-14.35107,123,17.415193
-26.879302,131,17.446871
-33.597124,99,17.470818
-42.134118,111,18.11113
-53.142808,154,18.155829
-32.127988,102,18.185033
-62.562025,138,18.22491
-61.232392,131,18.263668
-39.241837,87,18.288095
-70.654379,158,18.327147
-22.726798,121,18.356016
-26.108198,165,18.394955
-35.692659,98,18.417899
-56.812481,125,18.447708
-42.24366,79,18.46663
-49.037758,88,18.487497
-111.174128,180,18.529801
-82.991974,163,18.568201
-23.267125,104,18.592656
-43.216257,175,19.243443
-59.692406,82,19.269025
-40.980483,101,19.297255
-29.5464,95,19.324981
-47.253812,108,19.35612
-18.694635,123,19.390089
-61.501928,98,19.416876
-49.494757,105,19.442526
-34.134002,111,19.468912
-23.193868,155,19.509975
-27.692895,116,19.537733
-45.785815,112,19.564363
-71.043225,151,19.599929
-58.041582,112,19.626578
-72.976437,170,19.66688
-26.177075,109,19.692701
-51.452256,94,19.714706
-68.001447,101,19.738469
-27.535149,122,20.374713
